-0,-0,Location,-0,-0,CLManager,-0,-0,CMManagerDevMotMag,-0,-0,CMManagerMag,-0,-0,Sound,-0
Transaction,MAE,HAV,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-08-01_HomeG7_Leg,-0,0.019017168,-0,671.562627753,0.1057038176,0.1057038174,8.3159606218,0.9539556249,0.9539556249,100.301384393,0.1719103338,0.1719103414,-0,-0.2129486162,-0
16-08-01_HomeG8_Leg,-0,0.0269330058,-0,671.580965531,0.2505090842,0.2505090806,7.3793221643,0.999889228,0.999889228,100.437185544,0.1133171474,0.1133171367,-0,-0.013813933,-0
16-08-01_HomeG9_Leg,-0,0.0291459535,-0,671.688025445,-0.0699097507,-0.0699097497,8.0338774228,0.9872000548,0.9872000548,100.61192352,0.1299033144,0.1299033126,-0,0.7231888521,-0
16-08-01_HomeH1_Leg,-0,0.027339121,-0,671.407233805,0.0241639819,0.0241639815,9.2058785926,0.914306669,0.914306669,100.573630175,0.0047364124,0.0047364007,-0,0.0838346706,-0
16-08-01_HomeH10_Leg,-0,0.010215765,-0,671.58674326,-0.3323309434,-0.3323309396,8.0560635921,0.9903100818,0.9903100818,100.545183959,0.1249600112,0.1249600071,-0,0.167655958,-0
16-08-01_HomeH2_Leg,-0,0.0257472758,-0,671.655077975,-0.0278329167,-0.0278329178,8.3635509713,0.953192138,0.953192138,100.707260337,0.5785175206,0.5785175241,-0,-0.0247122551,-0
16-08-01_HomeH3_Leg,-0,0.0211269849,-0,671.624824885,0.0602839803,0.0602839798,8.0466217923,0.991080122,0.991080122,100.800956212,0.1446709634,0.14467096,-0,-0.0281929838,-0
16-08-01_HomeH4_Leg,-0,0.0236631107,-0,671.813899165,-0.1955141409,-0.1955141418,7.7298681782,0.9993668303,0.9993668303,100.599064148,0.3835130655,0.3835130792,-0,0.1762715811,-0
16-08-01_HomeH5_Leg,-0,0.0218814616,-0,671.759328075,0.3874152842,0.387415284,7.6483222232,0.9994269957,0.9994269957,100.582342775,-0.2526836623,-0.2526836565,-0,0.123377383,-0
16-08-01_HomeH6_Leg,-0,0.0223678727,-0,671.495253927,-0.0598230396,-0.0598230404,7.6618042416,0.9969764121,0.9969764121,100.435285049,-0.6124618886,-0.6124618941,-0,0.5737491089,-0
16-08-01_HomeH7_Leg,-0,0.0083639317,-0,671.636431202,-0.2001766531,-0.2001766501,7.9414751267,0.9916886501,0.9916886501,100.565817181,0.1857282357,0.1857282416,-0,-0.0084036343,-0
16-08-01_HomeH8_Leg,-0,0.0077132372,-0,671.771783362,0.2143132919,0.2143132929,7.900186827,0.9903196705,0.9903196705,100.594428044,-0.1985113679,-0.1985113513,-0,0.5422577378,-0
16-08-01_HomeH9_Leg,-0,0.0088414706,-0,671.577528117,-0.0451836995,-0.0451836996,7.9764695911,0.9902381669,0.9902381669,100.597938758,-0.0464932874,-0.0464932621,-0,-0.0338945773,-0
16-08-01_HomeI1_Leg,-0,0.094094571,-0,671.675067642,-0.0484280272,-0.0484280268,8.6112520042,0.9695041506,0.9695041506,100.751750259,0.0215501236,0.021550124,-0,0.0534796824,-0
16-08-01_HomeI10_Leg,-0,0.0549742404,-0,671.943077388,0.2414348251,0.2414348239,8.6519712603,0.9667027631,0.9667027631,100.717240324,-0.5882573256,-0.5882573464,-0,0.4472176617,-0
16-08-01_HomeI2_Leg,-0,0.0166980951,-0,671.839726022,0.1175180965,0.1175180958,8.297192838,0.9905724644,0.9905724644,100.774674081,-0.1031431364,-0.1031431548,-0,-0.2629166309,-0
