-,-,CMManagerAcc,-,-,CMManagerDevMotAcc,-,-,CMManagerDevMotAccGrav,-,-,Attitdue,-,-,-,AttitudeQuaternion,-,-,-,AttitudeRotationMatrix,-,-,CLManager,-,-,CMManagerDevMotMag,-,-,CMManagerMag,
Transaction,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,DOT,DIFF,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-07-26_36_North6_Leg,0.008095396,-0.025588838,-0.025588838,0.003265241,0.078255054,0.078255054,2.82E-07,0.123472784,0.121593203,0.008340924,-0.867088699,-0.867088701,0.003972717,-0.86739172,-0.867391718,0.999990119,0.008910186,-,-,-,692.8754983,0.247712757,0.247712757,6.345705115,0.950067162,0.950067162,121.8251387,0.52185142,0.521851426
16-07-26_36_North7_Leg,0.008369082,0.040251914,0.040251914,0.002868773,0.126384131,0.126384131,2.89E-07,-0.017760223,-0.013356877,0.010478405,-0.824666362,-0.824666359,0.004988156,-0.82414983,-0.824149828,0.999984934,0.010887422,-,-,-,692.7478442,-0.430994242,-0.430994236,5.773548307,0.990801263,0.990801263,121.8805108,-0.475342206,-0.475342193
16-07-26_36_North8_Leg,0.008169919,0.093431991,0.09343199,0.002708864,-0.013863852,-0.013863852,2.95E-07,-0.101419101,-0.086284719,0.008714387,0.168006812,0.168006819,0.00414952,0.164188452,0.164188452,0.999989288,0.00920285,-,-,-,692.8331636,0.136163038,0.136163037,6.019359563,0.97664374,0.97664374,121.7310502,0.245883698,0.245883699
16-07-26_36_North9_Leg,0.008542747,-0.07143448,-0.07143448,0.002985587,0.051674666,0.051674666,2.94E-07,0.071188822,0.068725162,0.009704277,-0.411450255,-0.411450257,0.004620748,-0.404614012,-0.404614017,0.999986228,0.010409098,-,-,-,692.8906985,0.106136729,0.106136727,6.124560422,0.954403042,0.954403042,121.6945517,0.255975052,0.255975051
16-07-26_45_North1_Leg,0.008578458,0.268711896,0.268711896,0.001312773,-0.093344523,-0.093344523,3.12E-07,-0.173067083,-0.170988059,0.008678055,0.953937675,0.953937675,0.004030082,0.953525691,0.953525691,0.999987048,0.010074902,-,-,-,688.462342,0.328931721,0.328931717,3.278603416,0.990716138,0.990716138,121.5096676,0.361775741,0.361775713
16-07-26_45_North10_Leg,0.009292781,-0.233968647,-0.233968647,0.001056768,0.10057402,0.10057402,2.02E-07,0.32771028,0.327812724,0.008070495,0.119649676,0.119649671,0.003748396,0.121527298,0.121527302,0.99998954,0.009200565,-,-,-,688.0764187,0.2822296,0.282229602,3.461250586,0.979017062,0.979017062,121.2052538,-0.258240098,-0.258240107
16-07-26_45_North2_Leg,0.008430648,0.355835706,0.355835706,0.001337544,-0.090084937,-0.090084937,2.70E-07,-0.111576532,-0.115343024,0.008840118,0.963706116,0.963706114,0.004106233,0.964136695,0.964136695,0.999986646,0.010267292,-,-,-,688.151735,-0.170124311,-0.170124309,3.652224151,0.95314758,0.95314758,121.4121946,0.044088602,0.044088616
16-07-26_45_North3_Leg,0.009288509,0.215901457,0.215901457,0.001308741,-0.261017869,-0.261017869,2.74E-07,0.050825517,0.051515152,0.008142646,0.883809577,0.883809583,0.003781567,0.882673188,0.882673197,0.999989672,0.009084705,-,-,-,688.1470044,-0.311942326,-0.311942331,3.96434977,0.946224757,0.946224757,121.3348458,-0.357288194,-0.357288195
16-07-26_45_North4_Leg,0.009128379,0.189582878,0.189582877,0.001458111,-0.411930949,-0.411930949,2.58E-07,0.050274693,0.054159036,0.00879673,0.962165638,0.962165638,0.004082771,0.962652026,0.962652026,0.999988214,0.009728946,-,-,-,688.2138684,-0.05754628,-0.05754628,3.31570984,0.980544399,0.980544399,121.3156906,0.207611977,0.207611981
16-07-26_45_North5_Leg,0.008530981,-0.024542211,-0.02454221,0.001528348,-0.089662694,-0.089662694,3.11E-07,-0.024786284,-0.019269275,0.00839133,-0.015058511,-0.015058496,0.003897449,-0.006684677,-0.006684661,0.999988468,0.009627428,-,-,-,688.1990482,-0.517391625,-0.517391631,3.206790607,0.990409575,0.990409575,121.2538908,-0.514212572,-0.514212576
16-07-26_45_North6_Leg,0.009228146,0.117485818,0.117485818,0.001466358,-0.14438119,-0.14438119,3.22E-07,-0.165374547,-0.184480432,0.007916011,-0.891630613,-0.891630613,0.003678471,-0.892242866,-0.892242863,0.999988354,0.009662205,-,-,-,688.1504909,0.137194412,0.137194412,3.319807533,0.990955806,0.990955806,121.2570537,-0.410488894,-0.410488895
16-07-26_45_North7_Leg,0.009426551,-0.054727388,-0.054727388,0.001583965,-0.102832513,-0.102832513,2.55E-07,0.066493154,0.069352648,0.008036628,0.668737235,0.668737234,0.003733149,0.668994456,0.668994456,0.999989208,0.009192711,-,-,-,688.03519,-0.047021859,-0.047021859,3.067665396,0.997432766,0.997432766,121.2290089,0.079776134,0.079776143
16-07-26_45_North8_Leg,0.009530165,-0.071762517,-0.071762517,0.001131354,0.001114494,0.001114494,2.77E-07,0.086165897,0.089425255,0.008430058,0.887273549,0.887273542,0.003917486,0.89017993,0.890179928,0.999986551,0.010267292,-,-,-,688.1574726,-0.24357001,-0.243570011,3.352748362,0.98618306,0.98618306,121.3535217,0.008075846,0.008075852
16-07-26_45_North9_Leg,0.009270319,-0.184117025,-0.184117025,0.001259036,0.146974293,0.146974293,3.24E-07,-0.193079671,-0.188956534,0.009105608,0.573730667,0.573730657,0.004228007,0.561288682,0.561288689,0.999986002,0.010552463,-,-,-,688.1095384,-0.301514569,-0.301514566,4.044408168,0.942561599,0.942561599,121.2204999,-0.276124094,-0.276124077
16-07-26_54_North1_Leg,0.009451283,0.133279955,0.133279955,0.001743709,-0.526811612,-0.526811612,2.36E-07,0.131010853,0.12939079,0.0085135,-0.011567533,-0.011567545,0.003810757,-0.079627792,-0.079627775,0.99998747,0.009931982,-,-,-,681.6813851,-0.217499954,-0.217499955,4.800615235,0.994012767,0.994012767,120.916931,-0.343164014,-0.343163999
16-07-26_54_North10_Leg,0.009810898,-0.156157876,-0.156157875,0.001097912,0.132192327,0.132192327,3.16E-07,-0.279105406,-0.276685786,0.009018247,0.986650424,0.986650426,0.004037417,0.985350442,0.985350443,0.999985978,0.010531472,-,-,-,681.4171462,-0.310973373,-0.310973378,4.890495562,0.991092188,0.991092188,120.5184882,0.101032078,0.101032072
16-07-26_54_North2_Leg,0.009543662,0.219876686,0.219876686,0.001023906,-0.234487638,-0.234487638,3.16E-07,0.077179788,0.075882524,0.009008345,0.987158986,0.987158986,0.004029687,0.987169616,0.987169617,0.999986699,0.010210024,-,-,-,681.6637739,0.020953255,0.020953256,5.913733508,0.937154434,0.937154434,120.782351,0.093843843,0.093843831
16-07-26_54_North3_Leg,0.009407964,0.076321107,0.076321108,0.000924906,0.078995483,0.078995483,2.93E-07,0.072640443,0.069465626,0.009510342,-0.727654843,-0.727654826,0.004248892,-0.743779731,-0.743779715,0.99998664,0.010354573,-,-,-,681.4496987,0.10658404,0.10658404,5.043502507,0.983469761,0.983469761,120.6645619,0.643173688,0.643173692
16-07-26_54_North4_Leg,0.00935254,0.504444812,0.504444812,0.001316288,-0.218221818,-0.218221818,2.90E-07,0.005756264,0.006129377,0.009181344,0.324865412,0.324865385,0.004107142,0.333020819,0.333020815,0.999986238,0.010467534,-,-,-,681.5020811,-0.015055346,-0.015055344,4.905113039,0.990538863,0.990538863,120.5611807,0.378852892,0.378852888
16-07-26_54_North5_Leg,0.009727854,-0.168878165,-0.168878166,0.000784623,-0.025711858,-0.025711858,2.65E-07,-0.111582931,-0.117697977,0.007344058,-0.991246907,-0.991246906,0.003292396,-0.991112122,-0.991112124,0.99998982,0.009055036,-,-,-,681.4738527,-0.461696782,-0.461696778,4.874510951,0.997959398,0.997959398,120.3902444,-0.369598712,-0.369598723
16-07-26_54_North6_Leg,0.010045961,-0.077518766,-0.077518766,0.000904366,0.352688921,0.352688921,3.06E-07,-0.054573546,-0.057532105,0.008361686,0.556370793,0.556370786,0.003735788,0.558466345,0.558466346,0.999989997,0.008889571,-,-,-,681.5132371,-0.237042203,-0.237042205,5.01191963,0.991090331,0.991090331,120.4790608,-0.256927245,-0.256927224
