-0,-0,Location,-0,-0,CLManager,-0,-0,CMManagerDevMotMag,-0,-0,CMManagerMag,-0,-0,Sound,-0
Transaction,MAE,HAV,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1,MAE,COR,COR1
16-08-01_Asda100B2_Ill,-0,0.0503568853,-0,605.948287425,-0.103788961,-0.10378896,537.936370066,0.9546839176,0.9546839176,90.4996079484,-0.0580859887,-0.0580859849,-0,-0.038133033,-0
16-08-01_Asda100B3_Ill,-0,0.0672041279,-0,606.13123349,-0.1106832485,-0.1106832513,538.226186731,0.9925703841,0.9925703841,90.5435972176,0.016154197,0.0161542163,-0,-0.0232493052,-0
16-08-01_Asda100B4_Ill,-0,0.0566385623,-0,606.036370059,-0.118241057,-0.1182410576,539.026751221,0.990396837,0.990396837,90.7957392289,0.1571529673,0.1571529535,-0,0.0799928373,-0
16-08-01_Asda100B5_Ill,-0,0.059054011,-0,606.150701154,-0.4713591174,-0.4713591132,539.370032386,0.9887591878,0.9887591878,90.9509259466,-0.034966838,-0.0349668499,-0,0.0472829239,-0
16-08-01_Asda100B6_Ill,-0,0.0660938563,-0,605.961579601,-0.2719977643,-0.2719977677,538.845465734,0.9906912039,0.9906912039,90.6679980873,0.0802054645,0.0802054513,-0,-0.0200169565,-0
16-08-01_Asda100B7_Ill,-0,0.058582229,-0,606.169459498,0.0456187973,0.0456187961,538.278418296,0.9511311558,0.9511311558,90.9862957101,0.1416623723,0.1416623872,-0,0.0325457105,-0
16-08-01_Asda100B8_Ill,-0,0.1542717965,-0,605.962317534,0.4342016791,0.4342016803,537.218666098,0.9527091556,0.9527091556,90.8415644964,0.3707374996,0.3707375019,-0,-0.0090507091,-0
16-08-01_Asda100B9_Ill,-0,0.061189988,-0,606.260371007,-0.0803103638,-0.0803103629,537.942435986,0.9520325532,0.9520325532,91.0651071512,-0.1007696101,-0.1007696196,-0,-0.0272192062,-0
16-08-01_Asda100C1_Ill,-0,0.6456050152,-0,607.863540183,-0.0227677916,-0.0227677915,539.217553786,0.9511950918,0.9511950918,103.157073974,0.0091446805,0.0091447006,-0,0.0204377213,-0
16-08-01_Asda100C10_Ill,-0,0.150829784,-0,607.575262921,0.1856961195,0.1856961201,539.936618972,0.999391981,0.999391981,102.323964029,-0.0648567671,-0.0648567771,-0,-0.0202484374,-0
16-08-01_Asda100C2_Ill,-0,0.2583965284,-0,607.673208859,-0.2015522666,-0.201552266,540.310335212,0.9908170645,0.9908170645,101.784511347,-0.0594279414,-0.0594279504,-0,-0.0045985367,-0
16-08-01_Asda100C3_Ill,-0,0.3142798246,-0,608.032164138,-0.2076389449,-0.2076389417,540.59079797,0.9904130923,0.9904130923,101.839263458,0.1659328127,0.1659328063,-0,0.1090315456,-0
16-08-01_Asda100C4_Ill,-0,0.0448902232,-0,607.783345228,-0.4873273212,-0.4873273246,539.747690246,0.9505412226,0.9505412226,102.082761357,-0.1959935095,-0.1959935149,-0,0.0342924514,-0
16-08-01_Asda100C5_Ill,-0,0.0724737769,-0,607.803456625,-0.1911699793,-0.191169978,540.181986997,0.9913654483,0.9913654483,102.087083259,0.0655490118,0.0655490135,-0,0.0746890699,-0
16-08-01_Asda100C6_Ill,-0,0.053358351,-0,607.692781263,0.0553715322,0.0553715324,540.322353619,0.9906043293,0.9906043293,101.989052744,0.1156251815,0.1156251823,-0,0.0323420214,-0
16-08-01_Asda100C7_Ill,-0,0.0422808212,-0,607.582490577,-0.0068659854,-0.0068659844,540.639176145,0.990262655,0.990262655,101.946586173,0.1447696894,0.1447696809,-0,-0.0091185649,-0
16-08-01_Asda100C8_Ill,-0,0.1522352565,-0,607.947236291,0.0774053063,0.0774053071,540.63928025,0.9898565464,0.9898565464,102.013397385,0.1685771528,0.1685771421,-0,0.0413862881,-0
